County,Year,Indicator,Value,Geolocation
Laikipia,2009,% Employed (age 5 and over) male rural,84.3,"(0.311627, 36.814178)"
Laikipia,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,42.2,"(0.311627, 36.814178)"
Laikipia,2009,% Economically Inactive (aged 5 and over) male rural,7,"(0.311627, 36.814178)"
Laikipia,2009,% Employment status unclassified (aged 5 and over)male rural,30.8,"(0.311627, 36.814178)"
Laikipia,2009,% Employed (age 5 and over) female urban,86.2,"(0.311627, 36.814178)"
Laikipia,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,37.7,"(0.311627, 36.814178)"
Laikipia,2009, % Economically Inactive (aged 5 and over)female urban,5.6,"(0.311627, 36.814178)"
Laikipia,2009,% Employment status unclassified (aged 5 and over) female urban,38.8,"(0.311627, 36.814178)"
Laikipia,2009,% Employed (age 5 and over) male urban,82.6,"(0.311627, 36.814178)"
Laikipia,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,46,"(0.311627, 36.814178)"
Laikipia,2009, % Economically Inactive (aged 5 and over)male urban,5.2,"(0.311627, 36.814178)"
Laikipia,2009,% Employment status unclassified (aged 5 and over)male urban,27.5,"(0.311627, 36.814178)"
Laikipia,2005,Morbidity rates male,16.1,"(0.311627, 36.814178)"
Laikipia,2005,Morbidity rates female,18.7,"(0.311627, 36.814178)"
Lamu,2009,Urban households access to electricty,62.8,"(-2.03752, 40.688214)"
Lamu,2009,Rural households access to electricty,4.4,"(-2.03752, 40.688214)"
Lamu,2009,Rural households access to piped water,21.6,"(-2.03752, 40.688214)"
Lamu,2009,Urban households access to piped water,62.8,"(-2.03752, 40.688214)"
Lamu,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.1,"(-2.03752, 40.688214)"
Lamu,2009,"Urban Access to main sewer, sceptic tank or cess pit",15.6,"(-2.03752, 40.688214)"
Lamu,2009,%  with Pre-Primary education,21.6,"(-2.03752, 40.688214)"
Lamu,2009,%  with Primary education,66.4,"(-2.03752, 40.688214)"
Lamu,2009,%  with Secondary education,9.7,"(-2.03752, 40.688214)"
Lamu,2009,"%  with Tertiary education, university or youth polytechnic",1,"(-2.03752, 40.688214)"
Lamu,2005,Incidence of Flu,0.5,"(-2.03752, 40.688214)"
Lamu,2005,Incidence of Fever/Malaria,63.3,"(-2.03752, 40.688214)"
Lamu,2005,Kenya average flu incidence,15,"(-2.03752, 40.688214)"
Lamu,2005,Kenya average Fever/Malaria incidence,41.4,"(-2.03752, 40.688214)"
Lamu,2009,% Employed (age 5 and over) female rural,83.5,"(-2.03752, 40.688214)"
Lamu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,41.4,"(-2.03752, 40.688214)"
Lamu,2009,% Economically Inactive (aged 5 and over)female rural,2.5,"(-2.03752, 40.688214)"
Lamu,2009,% Employment status unclassified (aged 5 and over)female rural,33.2,"(-2.03752, 40.688214)"
Lamu,2009,% Employed (age 5 and over) male rural,83.7,"(-2.03752, 40.688214)"
Lamu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,55.5,"(-2.03752, 40.688214)"
Lamu,2009,% Economically Inactive (aged 5 and over) male rural,3.8,"(-2.03752, 40.688214)"
Lamu,2009,% Employment status unclassified (aged 5 and over)male rural,17.7,"(-2.03752, 40.688214)"
Lamu,2009,% Employed (age 5 and over) female urban,83.3,"(-2.03752, 40.688214)"
Lamu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,17.8,"(-2.03752, 40.688214)"
Lamu,2009, % Economically Inactive (aged 5 and over)female urban,5,"(-2.03752, 40.688214)"
Lamu,2009,% Employment status unclassified (aged 5 and over) female urban,56.1,"(-2.03752, 40.688214)"
Lamu,2009,% Employed (age 5 and over) male urban,82.1,"(-2.03752, 40.688214)"
Lamu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,44.6,"(-2.03752, 40.688214)"
Lamu,2009, % Economically Inactive (aged 5 and over)male urban,4.7,"(-2.03752, 40.688214)"
Lamu,2009,% Employment status unclassified (aged 5 and over)male urban,29.4,"(-2.03752, 40.688214)"
Lamu,2005,Morbidity rates male,22.2,"(-2.03752, 40.688214)"
Lamu,2005,Morbidity rates female,19.8,"(-2.03752, 40.688214)"
Machakos,2009,Urban households access to electricty,27.4,"(-1.327138, 37.352277)"
Machakos,2009,Rural households access to electricty,3.4,"(-1.327138, 37.352277)"
Machakos,2009,Rural households access to piped water,6.7,"(-1.327138, 37.352277)"
Machakos,2009,Urban households access to piped water,19.9,"(-1.327138, 37.352277)"
Machakos,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.8,"(-1.327138, 37.352277)"
Machakos,2009,"Urban Access to main sewer, sceptic tank or cess pit",13.9,"(-1.327138, 37.352277)"
Machakos,2009,%  with Pre-Primary education,12.1,"(-1.327138, 37.352277)"
Machakos,2009,%  with Primary education,69.6,"(-1.327138, 37.352277)"
Machakos,2009,%  with Secondary education,14.6,"(-1.327138, 37.352277)"
Machakos,2009,"%  with Tertiary education, university or youth polytechnic",3.5,"(-1.327138, 37.352277)"
Machakos,2005,Incidence of Flu,15.9,"(-1.327138, 37.352277)"
Machakos,2005,Incidence of Fever/Malaria,40.9,"(-1.327138, 37.352277)"
Machakos,2005,Kenya average flu incidence,15,"(-1.327138, 37.352277)"
Machakos,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.327138, 37.352277)"
Machakos,2009,% Employed (age 5 and over) female rural,86.8,"(-1.327138, 37.352277)"
Machakos,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,30.6,"(-1.327138, 37.352277)"
Machakos,2009,% Economically Inactive (aged 5 and over)female rural,2.5,"(-1.327138, 37.352277)"
Machakos,2009,% Employment status unclassified (aged 5 and over)female rural,50.3,"(-1.327138, 37.352277)"
Machakos,2009,% Employed (age 5 and over) male rural,85.3,"(-1.327138, 37.352277)"
Machakos,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,37.7,"(-1.327138, 37.352277)"
Machakos,2009,% Economically Inactive (aged 5 and over) male rural,4,"(-1.327138, 37.352277)"
Machakos,2009,% Employment status unclassified (aged 5 and over)male rural,40,"(-1.327138, 37.352277)"
Machakos,2009,% Employed (age 5 and over) female urban,86.7,"(-1.327138, 37.352277)"
Machakos,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,34.9,"(-1.327138, 37.352277)"
Machakos,2009, % Economically Inactive (aged 5 and over)female urban,4.4,"(-1.327138, 37.352277)"
Machakos,2009,% Employment status unclassified (aged 5 and over) female urban,43.2,"(-1.327138, 37.352277)"
Machakos,2009,% Employed (age 5 and over) male urban,86.1,"(-1.327138, 37.352277)"
Machakos,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,46.8,"(-1.327138, 37.352277)"
Machakos,2009, % Economically Inactive (aged 5 and over)male urban,5.6,"(-1.327138, 37.352277)"
Machakos,2009,% Employment status unclassified (aged 5 and over)male urban,29.7,"(-1.327138, 37.352277)"
Machakos,2005,Morbidity rates male,36.8,"(-1.327138, 37.352277)"
Machakos,2005,Morbidity rates female,36.2,"(-1.327138, 37.352277)"
Makueni,2009,Urban households access to electricty,24.7,"(-2.211917, 37.865047)"
Makueni,2009,Rural households access to electricty,2.7,"(-2.211917, 37.865047)"
Makueni,2009,Rural households access to piped water,19.5,"(-2.211917, 37.865047)"
Makueni,2009,Urban households access to piped water,35.2,"(-2.211917, 37.865047)"
Makueni,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.5,"(-2.211917, 37.865047)"
Makueni,2009,"Urban Access to main sewer, sceptic tank or cess pit",4.2,"(-2.211917, 37.865047)"
Makueni,2009,%  with Pre-Primary education,10.5,"(-2.211917, 37.865047)"
Makueni,2009,%  with Primary education,72.7,"(-2.211917, 37.865047)"
Makueni,2009,%  with Secondary education,14.7,"(-2.211917, 37.865047)"
Makueni,2009,"%  with Tertiary education, university or youth polytechnic",2.1,"(-2.211917, 37.865047)"
Makueni,2005,Incidence of Flu,12.7,"(-2.211917, 37.865047)"
Makueni,2005,Incidence of Fever/Malaria,51.1,"(-2.211917, 37.865047)"
Makueni,2005,Kenya average flu incidence,15,"(-2.211917, 37.865047)"
Makueni,2005,Kenya average Fever/Malaria incidence,41.4,"(-2.211917, 37.865047)"
Makueni,2009,% Employed (age 5 and over) female rural,86,"(-2.211917, 37.865047)"
Makueni,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,26.3,"(-2.211917, 37.865047)"
Makueni,2009,% Economically Inactive (aged 5 and over)female rural,2.7,"(-2.211917, 37.865047)"
Makueni,2009,% Employment status unclassified (aged 5 and over)female rural,54.7,"(-2.211917, 37.865047)"
Makueni,2009,% Employed (age 5 and over) male rural,84.6,"(-2.211917, 37.865047)"
Makueni,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,33,"(-2.211917, 37.865047)"
Makueni,2009,% Economically Inactive (aged 5 and over) male rural,4.5,"(-2.211917, 37.865047)"
Makueni,2009,% Employment status unclassified (aged 5 and over)male rural,44.6,"(-2.211917, 37.865047)"
Makueni,2009,% Employed (age 5 and over) female urban,86.2,"(-2.211917, 37.865047)"
Makueni,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.5,"(-2.211917, 37.865047)"
Makueni,2009, % Economically Inactive (aged 5 and over)female urban,2.8,"(-2.211917, 37.865047)"
Makueni,2009,% Employment status unclassified (aged 5 and over) female urban,45.9,"(-2.211917, 37.865047)"
Makueni,2009,% Employed (age 5 and over) male urban,83.1,"(-2.211917, 37.865047)"
Makueni,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,45,"(-2.211917, 37.865047)"
Makueni,2009, % Economically Inactive (aged 5 and over)male urban,3.2,"(-2.211917, 37.865047)"
Makueni,2009,% Employment status unclassified (aged 5 and over)male urban,33.1,"(-2.211917, 37.865047)"
Makueni,2005,Morbidity rates male,30.6,"(-2.211917, 37.865047)"
Makueni,2005,Morbidity rates female,36.2,"(-2.211917, 37.865047)"
Mandera,2009,Urban households access to electricty,12.9,"(3.46712, 40.704671)"
Mandera,2009,Rural households access to electricty,0.2,"(3.46712, 40.704671)"
Mandera,2009,Rural households access to piped water,3.7,"(3.46712, 40.704671)"
Mandera,2009,Urban households access to piped water,14.5,"(3.46712, 40.704671)"
Mandera,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.1,"(3.46712, 40.704671)"
Mandera,2009,"Urban Access to main sewer, sceptic tank or cess pit",1.4,"(3.46712, 40.704671)"
Mandera,2009,%  with Pre-Primary education,3.1,"(3.46712, 40.704671)"
Mandera,2009,%  with Primary education,65.7,"(3.46712, 40.704671)"
Mandera,2009,%  with Secondary education,9.6,"(3.46712, 40.704671)"
Mandera,2009,"%  with Tertiary education, university or youth polytechnic",0.6,"(3.46712, 40.704671)"
Mandera,2005,Incidence of Flu,3.9,"(3.46712, 40.704671)"
Mandera,2005,Incidence of Fever/Malaria,35.2,"(3.46712, 40.704671)"
Mandera,2005,Kenya average flu incidence,15,"(3.46712, 40.704671)"
Mandera,2005,Kenya average Fever/Malaria incidence,41.4,"(3.46712, 40.704671)"
Mandera,2009,% Employed (age 5 and over) female rural,84.4,"(3.46712, 40.704671)"
Mandera,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,27.2,"(3.46712, 40.704671)"
Mandera,2009,% Economically Inactive (aged 5 and over)female rural,15.6,"(3.46712, 40.704671)"
Mandera,2009,% Employment status unclassified (aged 5 and over)female rural,35.5,"(3.46712, 40.704671)"
Mandera,2009,% Employed (age 5 and over) male rural,86.7,"(3.46712, 40.704671)"
Mandera,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,38.4,"(3.46712, 40.704671)"
Mandera,2009,% Economically Inactive (aged 5 and over) male rural,17.8,"(3.46712, 40.704671)"
Mandera,2009,% Employment status unclassified (aged 5 and over)male rural,24.5,"(3.46712, 40.704671)"
Mandera,2009,% Employed (age 5 and over) female urban,85.3,"(3.46712, 40.704671)"
Mandera,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,10.6,"(3.46712, 40.704671)"
Mandera,2009, % Economically Inactive (aged 5 and over)female urban,15.2,"(3.46712, 40.704671)"
Mandera,2009,% Employment status unclassified (aged 5 and over) female urban,51.2,"(3.46712, 40.704671)"
Mandera,2009,% Employed (age 5 and over) male urban,86,"(3.46712, 40.704671)"
Mandera,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,18.1,"(3.46712, 40.704671)"
Mandera,2009, % Economically Inactive (aged 5 and over)male urban,18.2,"(3.46712, 40.704671)"
Mandera,2009,% Employment status unclassified (aged 5 and over)male urban,41.6,"(3.46712, 40.704671)"
Mandera,2005,Morbidity rates male,11.5,"(3.46712, 40.704671)"
Mandera,2005,Morbidity rates female,13.8,"(3.46712, 40.704671)"
Marsabit,2009,Urban households access to electricty,33.7,"(2.772167, 37.76822)"
Marsabit,2009,Rural households access to electricty,0.6,"(2.772167, 37.76822)"
Marsabit,2009,Rural households access to piped water,5.7,"(2.772167, 37.76822)"
Marsabit,2009,Urban households access to piped water,11.2,"(2.772167, 37.76822)"
Marsabit,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.2,"(2.772167, 37.76822)"
Marsabit,2009,"Urban Access to main sewer, sceptic tank or cess pit",0.7,"(2.772167, 37.76822)"
Marsabit,2009,%  with Pre-Primary education,16.7,"(2.772167, 37.76822)"
Marsabit,2009,%  with Primary education,70.4,"(2.772167, 37.76822)"
Marsabit,2009,%  with Secondary education,8.9,"(2.772167, 37.76822)"
Marsabit,2009,"%  with Tertiary education, university or youth polytechnic",1.3,"(2.772167, 37.76822)"
Marsabit,2005,Incidence of Flu,13.5,"(2.772167, 37.76822)"
Marsabit,2005,Incidence of Fever/Malaria,44,"(2.772167, 37.76822)"
Marsabit,2005,Kenya average flu incidence,15,"(2.772167, 37.76822)"
Marsabit,2005,Kenya average Fever/Malaria incidence,41.4,"(2.772167, 37.76822)"
Marsabit,2009,% Employed (age 5 and over) female rural,83.6,"(2.772167, 37.76822)"
Marsabit,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,34.5,"(2.772167, 37.76822)"
Marsabit,2009,% Economically Inactive (aged 5 and over)female rural,5.9,"(2.772167, 37.76822)"
Marsabit,2009,% Employment status unclassified (aged 5 and over)female rural,35.2,"(2.772167, 37.76822)"
Marsabit,2009,% Employed (age 5 and over) male rural,83.9,"(2.772167, 37.76822)"
Marsabit,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,52.9,"(2.772167, 37.76822)"
Marsabit,2009,% Economically Inactive (aged 5 and over) male rural,6.9,"(2.772167, 37.76822)"
Marsabit,2009,% Employment status unclassified (aged 5 and over)male rural,15.7,"(2.772167, 37.76822)"
Marsabit,2009,% Employed (age 5 and over) female urban,84.9,"(2.772167, 37.76822)"
Marsabit,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,15.4,"(2.772167, 37.76822)"
Marsabit,2009, % Economically Inactive (aged 5 and over)female urban,7,"(2.772167, 37.76822)"
Marsabit,2009,% Employment status unclassified (aged 5 and over) female urban,57.5,"(2.772167, 37.76822)"
Marsabit,2009,% Employed (age 5 and over) male urban,82.5,"(2.772167, 37.76822)"
Marsabit,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,28.1,"(2.772167, 37.76822)"
Marsabit,2009, % Economically Inactive (aged 5 and over)male urban,11.6,"(2.772167, 37.76822)"
Marsabit,2009,% Employment status unclassified (aged 5 and over)male urban,38.3,"(2.772167, 37.76822)"
Marsabit,2005,Morbidity rates male,19.3,"(2.772167, 37.76822)"
Marsabit,2005,Morbidity rates female,20.5,"(2.772167, 37.76822)"
Meru,2009,Urban households access to electricty,46,"(0.159398, 37.750761)"
Meru,2009,Rural households access to electricty,7.4,"(0.159398, 37.750761)"
Meru,2009,Rural households access to piped water,48.7,"(0.159398, 37.750761)"
Meru,2009,Urban households access to piped water,75.5,"(0.159398, 37.750761)"
Meru,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.9,"(0.159398, 37.750761)"
Meru,2009,"Urban Access to main sewer, sceptic tank or cess pit",11,"(0.159398, 37.750761)"
Meru,2009,%  with Pre-Primary education,12.6,"(0.159398, 37.750761)"
Meru,2009,%  with Primary education,72.3,"(0.159398, 37.750761)"
Meru,2009,%  with Secondary education,12.6,"(0.159398, 37.750761)"
Meru,2009,"%  with Tertiary education, university or youth polytechnic",2.4,"(0.159398, 37.750761)"
Meru,2005,Incidence of Flu,6,"(0.159398, 37.750761)"
Meru,2005,Incidence of Fever/Malaria,42.6,"(0.159398, 37.750761)"
Meru,2005,Kenya average flu incidence,15,"(0.159398, 37.750761)"
Meru,2005,Kenya average Fever/Malaria incidence,41.4,"(0.159398, 37.750761)"
Meru,2009,% Employed (age 5 and over) female rural,86.1,"(0.159398, 37.750761)"
Meru,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,46.4,"(0.159398, 37.750761)"
Meru,2009,% Economically Inactive (aged 5 and over)female rural,2.7,"(0.159398, 37.750761)"
Meru,2009,% Employment status unclassified (aged 5 and over)female rural,33.8,"(0.159398, 37.750761)"
Meru,2009,% Employed (age 5 and over) male rural,85.4,"(0.159398, 37.750761)"
Meru,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,50.5,"(0.159398, 37.750761)"
Meru,2009,% Economically Inactive (aged 5 and over) male rural,3.4,"(0.159398, 37.750761)"
Meru,2009,% Employment status unclassified (aged 5 and over)male rural,28.1,"(0.159398, 37.750761)"
Meru,2009,% Employed (age 5 and over) female urban,87,"(0.159398, 37.750761)"
Meru,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,45.6,"(0.159398, 37.750761)"
Meru,2009, % Economically Inactive (aged 5 and over)female urban,3.9,"(0.159398, 37.750761)"
Meru,2009,% Employment status unclassified (aged 5 and over) female urban,34,"(0.159398, 37.750761)"
Meru,2009,% Employed (age 5 and over) male urban,84.6,"(0.159398, 37.750761)"
Meru,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,51.1,"(0.159398, 37.750761)"
Meru,2009, % Economically Inactive (aged 5 and over)male urban,3.5,"(0.159398, 37.750761)"
Meru,2009,% Employment status unclassified (aged 5 and over)male urban,26.6,"(0.159398, 37.750761)"
Meru,2005,Morbidity rates male,27.9,"(0.159398, 37.750761)"
Meru,2005,Morbidity rates female,34.1,"(0.159398, 37.750761)"
Migori,2009,Urban households access to electricty,12.5,"(-1.008592, 34.42681)"
Migori,2009,Rural households access to electricty,1.1,"(-1.008592, 34.42681)"
Migori,2009,Rural households access to piped water,0.3,"(-1.008592, 34.42681)"
Migori,2009,Urban households access to piped water,5.9,"(-1.008592, 34.42681)"
Migori,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(-1.008592, 34.42681)"
Migori,2009,"Urban Access to main sewer, sceptic tank or cess pit",1.9,"(-1.008592, 34.42681)"
Migori,2009,%  with Pre-Primary education,20,"(-1.008592, 34.42681)"
Migori,2009,%  with Primary education,68,"(-1.008592, 34.42681)"
Migori,2009,%  with Secondary education,10.3,"(-1.008592, 34.42681)"
Migori,2009,"%  with Tertiary education, university or youth polytechnic",1.7,"(-1.008592, 34.42681)"
Migori,2005,Incidence of Flu,1.5,"(-1.008592, 34.42681)"
Migori,2005,Incidence of Fever/Malaria,63,"(-1.008592, 34.42681)"
Migori,2005,Kenya average flu incidence,15,"(-1.008592, 34.42681)"
Migori,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.008592, 34.42681)"
Migori,2009,% Employed (age 5 and over) female rural,80.7,"(-1.008592, 34.42681)"
Migori,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,46.2,"(-1.008592, 34.42681)"
Migori,2009,% Economically Inactive (aged 5 and over)female rural,2.2,"(-1.008592, 34.42681)"
Migori,2009,% Employment status unclassified (aged 5 and over)female rural,29.3,"(-1.008592, 34.42681)"
Migori,2009,% Employed (age 5 and over) male rural,79.3,"(-1.008592, 34.42681)"
Migori,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,43.2,"(-1.008592, 34.42681)"
Migori,2009,% Economically Inactive (aged 5 and over) male rural,2,"(-1.008592, 34.42681)"
Migori,2009,% Employment status unclassified (aged 5 and over)male rural,30.8,"(-1.008592, 34.42681)"
Migori,2009,% Employed (age 5 and over) female urban,81.6,"(-1.008592, 34.42681)"
Migori,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,39.9,"(-1.008592, 34.42681)"
Migori,2009, % Economically Inactive (aged 5 and over)female urban,4.9,"(-1.008592, 34.42681)"
Migori,2009,% Employment status unclassified (aged 5 and over) female urban,32.3,"(-1.008592, 34.42681)"
Migori,2009,% Employed (age 5 and over) male urban,79.9,"(-1.008592, 34.42681)"
Migori,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,41.4,"(-1.008592, 34.42681)"
Migori,2009,% Economically Inactive (aged 5 and over)male urban,4.3,"(-1.008592, 34.42681)"
Migori,2009,% Employment status unclassified (aged 5 and over)male urban,29.8,"(-1.008592, 34.42681)"
Migori,2005,Morbidity rates male,29.4,"(-1.008592, 34.42681)"
Migori,2005,Morbidity rates female,35.7,"(-1.008592, 34.42681)"
Mombasa,2009,Urban households access to electricty,59,"(-3.998813, 39.632129)"
Mombasa,2009,Rural households access to electricty,0,"(-3.998813, 39.632129)"
Mombasa,2009,Rural households access to piped water,,"(-3.998813, 39.632129)"
Mombasa,2009,Urban households access to piped water,52.9,"(-3.998813, 39.632129)"
Mombasa,2009,"Rural Access to main sewer, sceptic tank or cess pit",,"(-3.998813, 39.632129)"
Mombasa,2009,"Urban Access to main sewer, sceptic tank or cess pit",28.4,"(-3.998813, 39.632129)"
Mombasa,2009,%  with Pre-Primary education,19.8,"(-3.998813, 39.632129)"
Mombasa,2009,%  with Primary education,56.9,"(-3.998813, 39.632129)"
Mombasa,2009,%  with Secondary education,15.3,"(-3.998813, 39.632129)"
Mombasa,2009,"%  with Tertiary education, university or youth polytechnic",7.3,"(-3.998813, 39.632129)"
Mombasa,2005,Incidence of Flu,18.7,"(-3.998813, 39.632129)"
Mombasa,2005,Incidence of Fever/Malaria,48,"(-3.998813, 39.632129)"
Mombasa,2005,Kenya average flu incidence,15,"(-3.998813, 39.632129)"
Mombasa,2005,Kenya average Fever/Malaria incidence,41.4,"(-3.998813, 39.632129)"
Mombasa,2009,% Employed (age 5 and over) female rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Economically Inactive (aged 5 and over)female rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Employment status unclassified (aged 5 and over)female rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Employed (age 5 and over) male rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Economically Inactive (aged 5 and over) male rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Employment status unclassified (aged 5 and over)male rural,,"(-3.998813, 39.632129)"
Mombasa,2009,% Employed (age 5 and over) female urban,85.2,"(-3.998813, 39.632129)"
Mombasa,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,26.8,"(-3.998813, 39.632129)"
Mombasa,2009, % Economically Inactive (aged 5 and over)female urban,8.7,"(-3.998813, 39.632129)"
Mombasa,2009,% Employment status unclassified (aged 5 and over) female urban,45.9,"(-3.998813, 39.632129)"
Mombasa,2009,% Employed (age 5 and over) male urban,84.7,"(-3.998813, 39.632129)"
Mombasa,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,47.5,"(-3.998813, 39.632129)"
Mombasa,2009, % Economically Inactive (aged 5 and over)male urban,9.1,"(-3.998813, 39.632129)"
Mombasa,2009,% Employment status unclassified (aged 5 and over)male urban,25.1,"(-3.998813, 39.632129)"
Mombasa,2005,Morbidity rates male,16.6,"(-3.998813, 39.632129)"
Mombasa,2005,Morbidity rates female,23.3,"(-3.998813, 39.632129)"
Muranga,2009,Urban households access to electricty,33.3,
Muranga,2009,Rural households access to electricty,9.9,
Muranga,2009,Rural households access to piped water,21.5,
Muranga,2009,Urban households access to piped water,34.9,
Muranga,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.1,
Muranga,2009,"Urban Access to main sewer, sceptic tank or cess pit",14,
Muranga,2009,%  with Pre-Primary education,10.1,
Muranga,2009,%  with Primary education,69.5,
Muranga,2009,%  with Secondary education,17.7,
Muranga,2009,"%  with Tertiary education, university or youth polytechnic",2.5,
Muranga,2005,Incidence of Flu,11.1,
Muranga,2005,Incidence of Fever/Malaria,36.2,
Muranga,2005,Kenya average flu incidence,15,
Muranga,2005,Kenya average Fever/Malaria incidence,41.4,
Muranga,2009,% Employed (age 5 and over) female rural,88.6,
Muranga,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,48.8,
Muranga,2009,% Economically Inactive (aged 5 and over)female rural,1.8,
Muranga,2009,% Employment status unclassified (aged 5 and over)female rural,36.4,
Muranga,2009,% Employed (age 5 and over) male rural,87.4,
Muranga,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,49.6,
Muranga,2009,% Economically Inactive (aged 5 and over) male rural,2.9,
Muranga,2009,% Employment status unclassified (aged 5 and over)male rural,33.2,
Muranga,2009,% Employed (age 5 and over) female urban,88,
Muranga,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,44.5,
Muranga,2009, % Economically Inactive (aged 5 and over)female urban,2.9,
Muranga,2009,% Employment status unclassified (aged 5 and over) female urban,38.3,
Muranga,2009,% Employed (age 5 and over) male urban,86.3,
Muranga,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,47.7,
Muranga,2009, % Economically Inactive (aged 5 and over)male urban,3.7,
Muranga,2009,% Employment status unclassified (aged 5 and over)male urban,32.4,
Muranga,2005,Morbidity rates male,22.6,
Muranga,2005,Morbidity rates female,28.5,
Nairobi,2009,Urban households access to electricty,72.4,"(-1.296975, 36.844534)"
Nairobi,2009,Rural households access to electricty,0,"(-1.296975, 36.844534)"
Nairobi,2009,Rural households access to piped water,,"(-1.296975, 36.844534)"
Nairobi,2009,Urban households access to piped water,75.7,"(-1.296975, 36.844534)"
Nairobi,2009,"Rural Access to main sewer, sceptic tank or cess pit",,"(-1.296975, 36.844534)"
Nairobi,2009,"Urban Access to main sewer, sceptic tank or cess pit",58.4,"(-1.296975, 36.844534)"
Nairobi,2009,%  with Pre-Primary education,16,"(-1.296975, 36.844534)"
Nairobi,2009,%  with Primary education,50.3,"(-1.296975, 36.844534)"
Nairobi,2009,%  with Secondary education,18.1,"(-1.296975, 36.844534)"
Nairobi,2009,"%  with Tertiary education, university or youth polytechnic",15,"(-1.296975, 36.844534)"
Nairobi,2005,Incidence of Flu,23.3,"(-1.296975, 36.844534)"
Nairobi,2005,Incidence of Fever/Malaria,37.7,"(-1.296975, 36.844534)"
Nairobi,2005,Kenya average flu incidence,15,"(-1.296975, 36.844534)"
Nairobi,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.296975, 36.844534)"
Nairobi,2009,% Employed (age 5 and over) female rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Economically Inactive (aged 5 and over)female rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Employment status unclassified (aged 5 and over)female rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Employed (age 5 and over) male rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Economically Inactive (aged 5 and over) male rural,,"(-1.296975, 36.844534)"
Nairobi,2009,% Employment status unclassified (aged 5 and over)male rural,,"(-1.296975, 36.844534)"
