"type","region","district","ward","village","population","in shapefile"
"ward","Singida","Singida","Mrama","",9347,"y"
"village","Singida","Singida","Mrama","Mwakiti",2671,"n"
"village","Singida","Singida","Mrama","Itamka",2596,"n"
"village","Singida","Singida","Mrama","Mrama",1446,"n"
"village","Singida","Singida","Mrama","Makhandi",1063,"n"
"village","Singida","Singida","Mrama","Idd Simba",1572,"n"
"ward","Singida","Singida","Kijota","",9666,"y"
"village","Singida","Singida","Kijota","Kijota",2096,"n"
"village","Singida","Singida","Kijota","Nduu",2441,"n"
"village","Singida","Singida","Kijota","Mitonto",2234,"n"
"village","Singida","Singida","Kijota","Ikiwu",2895,"n"
"ward","Singida","Singida","Mtinko","",19414,"y"
"village","Singida","Singida","Mtinko","Mpambaa",3647,"n"
"village","Singida","Singida","Mtinko","Malolo",3880,"n"
"village","Singida","Singida","Mtinko","Mtinko",5355,"n"
"village","Singida","Singida","Mtinko","Minyenye",1774,"n"
"village","Singida","Singida","Mtinko","Ndugwira",2556,"n"
"village","Singida","Singida","Mtinko","Mughanga",2202,"n"
"ward","Singida","Singida","Ughandi","",15985,"y"
"village","Singida","Singida","Ughandi","Senene Mfuru",1670,"n"
"village","Singida","Singida","Ughandi","Laghanida",3531,"n"
"village","Singida","Singida","Ughandi","Ughandi A",3027,"n"
"village","Singida","Singida","Ughandi","Ughandi B",2939,"n"
"village","Singida","Singida","Ughandi","Misinko",4818,"n"
"ward","Singida","Singida","Msisi","",9314,"y"
"village","Singida","Singida","Msisi","Ntondo",2602,"n"
"village","Singida","Singida","Msisi","Nkwae",2498,"n"
"village","Singida","Singida","Msisi","Msisi",2541,"n"
"village","Singida","Singida","Msisi","Mnung'una",1673,"n"
"district","Singida","Manyoni","","",296763,"n"
"ward","Singida","Manyoni","Manyoni","",25505,"y"
"village","Singida","Manyoni","Manyoni","Majengo",7394,"n"
"village","Singida","Manyoni","Manyoni","Manyoni",10681,"n"
"village","Singida","Manyoni","Manyoni","Mwanzi",2320,"n"
"village","Singida","Manyoni","Manyoni","Kipondoda",5110,"n"
"ward","Singida","Manyoni","Solya","",4372,"y"
"village","Singida","Manyoni","Solya","Solya",2743,"n"
"village","Singida","Manyoni","Solya","Kilimatinde",1629,"n"
"ward","Singida","Manyoni","Makuru","",11874,"y"
"village","Singida","Manyoni","Makuru","Londoni",3345,"n"
"village","Singida","Manyoni","Makuru","Msemembo",5989,"n"
"village","Singida","Manyoni","Makuru","Hika",2540,"n"
"ward","Singida","Manyoni","Chikuyu","",6487,"y"
"village","Singida","Manyoni","Chikuyu","Chilejeho",819,"n"
"village","Singida","Manyoni","Chikuyu","Mtiwe",689,"n"
"village","Singida","Manyoni","Chikuyu","Chikuyu",2636,"n"
"village","Singida","Manyoni","Chikuyu","Mwiboo",2343,"n"
"ward","Singida","Manyoni","Makanda","",9768,"y"
"village","Singida","Manyoni","Makanda","Magasai",2965,"n"
"village","Singida","Manyoni","Makanda","Makanda",3703,"n"
"village","Singida","Manyoni","Makanda","Kitalalo",3100,"n"
"ward","Singida","Manyoni","Kintinku","",8877,"y"
"village","Singida","Manyoni","Kintinku","Udimaa",3146,"n"
"village","Singida","Manyoni","Kintinku","Lusilile",4039,"n"
"village","Singida","Manyoni","Kintinku","Kintinku",1692,"n"
"ward","Singida","Manyoni","Mvumi","",7873,"y"
"village","Singida","Manyoni","Mvumi","Maweni",2758,"n"
"village","Singida","Manyoni","Mvumi","Mvumi",1770,"n"
"village","Singida","Manyoni","Mvumi","Ngaiti",3345,"n"
"ward","Singida","Manyoni","Majiri","",11721,"y"
"village","Singida","Manyoni","Majiri","Mpandagani",2950,"n"
"village","Singida","Manyoni","Majiri","Kinangali",3891,"n"
"village","Singida","Manyoni","Majiri","Majiri",3743,"n"
"village","Singida","Manyoni","Majiri","Mahaka",1137,"n"
"ward","Singida","Manyoni","Sasajila","",7141,"y"
"village","Singida","Manyoni","Sasajila","Chibumagwa",3379,"n"
"village","Singida","Manyoni","Sasajila","Sasajila",2217,"n"
"village","Singida","Manyoni","Sasajila","Makasuku",1546,"n"
"ward","Singida","Manyoni","Idodyandole","",11201,"y"
"village","Singida","Manyoni","Idodyandole","Kashangu",1785,"n"
"village","Singida","Manyoni","Idodyandole","Jeje",2144,"n"
"village","Singida","Manyoni","Idodyandole","Idodyandole",3022,"n"
"village","Singida","Manyoni","Idodyandole","Ipanga Masasi",1599,"n"
"village","Singida","Manyoni","Idodyandole","Mbugani",2651,"n"
"ward","Singida","Manyoni","Chikola","",12334,"y"
"village","Singida","Manyoni","Chikola","Chikola",3690,"n"
"village","Singida","Manyoni","Chikola","Winamila",1752,"n"
"village","Singida","Manyoni","Chikola","Chidamsulu",1505,"n"
"village","Singida","Manyoni","Chikola","Itetema",1638,"n"
"village","Singida","Manyoni","Chikola","Kasanii",3749,"n"
"ward","Singida","Manyoni","Heka","",7921,"y"
"village","Singida","Manyoni","Heka","Heka Azimio",6098,"n"
"village","Singida","Manyoni","Heka","Chikombo",1823,"n"
"ward","Singida","Manyoni","Nkonko","",11281,"y"
"village","Singida","Manyoni","Nkonko","Mpola",3474,"n"
"village","Singida","Manyoni","Nkonko","Ntumbi",4476,"n"
"village","Singida","Manyoni","Nkonko","Nkonko",3331,"n"
"ward","Singida","Manyoni","Sanza","",10387,"y"
"village","Singida","Manyoni","Sanza","Ikasi",2097,"n"
"village","Singida","Manyoni","Sanza","Chicheho",1792,"n"
"village","Singida","Manyoni","Sanza","Sanza",3025,"n"
"village","Singida","Manyoni","Sanza","Ntope",3473,"n"
"ward","Singida","Manyoni","Isseke","",12214,"y"
"village","Singida","Manyoni","Isseke","Isseke",2604,"n"
"village","Singida","Manyoni","Isseke","Igwamadete",2316,"n"
"village","Singida","Manyoni","Isseke","Mpapa",2169,"n"
"village","Singida","Manyoni","Isseke","Simbanguru",2864,"n"
"village","Singida","Manyoni","Isseke","Mangoli",2262,"n"
"ward","Singida","Manyoni","Rungwa","",2209,"y"
"village","Singida","Manyoni","Rungwa","Rungwa",2209,"n"
"ward","Singida","Manyoni","Mgandu","",13788,"y"
"village","Singida","Manyoni","Mgandu","Kayui",7429,"n"
"village","Singida","Manyoni","Mgandu","Itagata",4607,"n"
"village","Singida","Manyoni","Mgandu","Lulanga",1751,"n"
"ward","Singida","Manyoni","Itigi","",5590,"n"
"village","Singida","Manyoni","Itigi","Itigi Mjini",5590,"n"
"ward","Singida","Manyoni","Ipande","",10040,"y"
"village","Singida","Manyoni","Ipande","Ipande",2749,"n"
"village","Singida","Manyoni","Ipande","Muhanga",4176,"n"
"village","Singida","Manyoni","Ipande","Damwelu",3115,"n"
"ward","Singida","Manyoni","Sanjaranda","",8828,"y"
"village","Singida","Manyoni","Sanjaranda","Gurundu",2552,"n"
"village","Singida","Manyoni","Sanjaranda","Sanjaranda",2682,"n"
"village","Singida","Manyoni","Sanjaranda","Kitopeni",3593,"n"
"ward","Singida","Manyoni","Aghondi","",5468,"y"
"village","Singida","Manyoni","Aghondi","Kamenyanga",2061,"n"
"village","Singida","Manyoni","Aghondi","Aghondi",998,"n"
"village","Singida","Manyoni","Aghondi","Mabondeni",1025,"n"
"village","Singida","Manyoni","Aghondi","Njirii",1384,"n"
"ward","Singida","Manyoni","Mkwese","",4726,"y"
"village","Singida","Manyoni","Mkwese","Mkwese",2792,"n"
"village","Singida","Manyoni","Mkwese","Mitoo",1142,"n"
"village","Singida","Manyoni","Mkwese","Kinyika",792,"n"
"ward","Singida","Manyoni","Muhalala","",3980,"y"
"village","Singida","Manyoni","Muhalala","Mdunundu",960,"n"
"village","Singida","Manyoni","Muhalala","Muhalala",1630,"n"
"village","Singida","Manyoni","Muhalala","Kapiti",1390,"n"
"ward","Singida","Manyoni","Saranda","",9115,"y"
"village","Singida","Manyoni","Saranda","Sukamahela",2586,"n"
"village","Singida","Manyoni","Saranda","Saranda",4022,"n"
"village","Singida","Manyoni","Saranda","Ilaloo",2508,"n"
"ward","Singida","Manyoni","Makutopora","",6635,"n"
"village","Singida","Manyoni","Makutopora","Mbwasa",2174,"n"
"village","Singida","Manyoni","Makutopora","Makutopora",3345,"n"
"village","Singida","Manyoni","Makutopora","Dabia",1116,"n"
"ward","Singida","Manyoni","Sasilo","",11987,"y"
"village","Singida","Manyoni","Sasilo","Chisingisa",1505,"n"
"village","Singida","Manyoni","Sasilo","Imalampaka",4092,"n"
"village","Singida","Manyoni","Sasilo","Sasilo",4994,"n"
"village","Singida","Manyoni","Sasilo","Mwitikila",1397,"n"
"ward","Singida","Manyoni","Mwamagembe","",6462,"y"
"village","Singida","Manyoni","Mwamagembe","Mwamagembe",2457,"n"
"village","Singida","Manyoni","Mwamagembe","Kintanula",4005,"n"
"ward","Singida","Manyoni","Mitundu","",23081,"y"
"village","Singida","Manyoni","Mitundu","Mitundu",12479,"n"
"village","Singida","Manyoni","Mitundu","Makale",5993,"n"
"village","Singida","Manyoni","Mitundu","Ipalalyu",4609,"n"
"ward","Singida","Manyoni","Kitaraka","",9711,"y"
"village","Singida","Manyoni","Kitaraka","Kitaraka",3613,"n"
"village","Singida","Manyoni","Kitaraka","Doroto",3772,"n"
"village","Singida","Manyoni","Kitaraka","Kazikazi",2325,"n"
"ward","Singida","Manyoni","Itigi Majengo","",16187,"y"
"village","Singida","Manyoni","Itigi Majengo","Zinginali",5195,"n"
"village","Singida","Manyoni","Itigi Majengo","Itigi Majengo",2638,"n"
"village","Singida","Manyoni","Itigi Majengo","Songambele",3562,"n"
"village","Singida","Manyoni","Itigi Majengo","Tambukareli",4792,"n"
"district","Singida","Singida","","",150379,"n"
"ward","Singida","Singida","Mtipa","",8351,"n"
"village","Singida","Singida","Mtipa","Manga",3950,"n"
"village","Singida","Singida","Mtipa","Mtipa",4401,"n"
"ward","Singida","Singida","Mughanga","",2046,"n"
"village","Singida","Singida","Mughanga","Mji wa Zamani",1256,"n"
"village","Singida","Singida","Mughanga","Bomani",790,"n"
"ward","Singida","Singida","Mitunduruni","",10503,"n"
"village","Singida","Singida","Mitunduruni","Mangua Mitogho",1063,"n"
"village","Singida","Singida","Mitunduruni","Unyankindi",1849,"n"
"village","Singida","Singida","Mitunduruni","NHC",1339,"n"
"village","Singida","Singida","Mitunduruni","Mitunduruni",1031,"n"
"village","Singida","Singida","Mitunduruni","Msufini",1246,"n"
"village","Singida","Singida","Mitunduruni","Kasembe",2117,"n"
"village","Singida","Singida","Mitunduruni","Bima",1858,"n"
"ward","Singida","Singida","Majengo","",9370,"n"
"village","Singida","Singida","Majengo","Mwenge",2259,"n"
"village","Singida","Singida","Majengo","Ng'ongoajibu",1722,"n"
"village","Singida","Singida","Majengo","Ukombozi",1633,"n"
"village","Singida","Singida","Majengo","Jitulize",1477,"n"
"village","Singida","Singida","Majengo","Majengo",796,"n"
"village","Singida","Singida","Majengo","Stendi",1484,"n"
"ward","Singida","Singida","Unyambwa","",9301,"n"
"village","Singida","Singida","Unyambwa","Kisasida",4635,"n"
"village","Singida","Singida","Unyambwa","Unyambwa",4666,"n"
"ward","Singida","Singida","Mungumaji","",4320,"n"
"village","Singida","Singida","Mungumaji","Mungumaji",4320,"n"
"ward","Singida","Singida","Unyamikumbi","",12616,"n"
"village","Singida","Singida","Unyamikumbi","Unyamikumbi A",1878,"n"
"village","Singida","Singida","Unyamikumbi","Ughaugha A",2459,"n"
"village","Singida","Singida","Unyamikumbi","Ughaugha B",1249,"n"
"village","Singida","Singida","Unyamikumbi","Unyamikumbi B",2794,"n"
"village","Singida","Singida","Unyamikumbi","Kisaki",4235,"n"
"ward","Singida","Singida","Mtamaa","",6981,"n"
"village","Singida","Singida","Mtamaa","Mtamaa B",3837,"n"
"village","Singida","Singida","Mtamaa","Mtamaa A",3144,"n"
"ward","Singida","Singida","Kindai","",12658,"n"
"village","Singida","Singida","Kindai","Bohari",1551,"n"
"village","Singida","Singida","Kindai","Kindai",1731,"n"
"village","Singida","Singida","Kindai","Dodoma Road",2150,"n"
"village","Singida","Singida","Kindai","Kilambida",2562,"n"
"village","Singida","Singida","Kindai","Kibaoni",1644,"n"
"village","Singida","Singida","Kindai","Mahembe",1615,"n"
"village","Singida","Singida","Kindai","Singida Munangi",1405,"n"
"ward","Singida","Singida","Ipembe","",1858,"n"
"village","Singida","Singida","Ipembe","Zimamoto",277,"n"
"village","Singida","Singida","Ipembe","Soko",660,"n"
"village","Singida","Singida","Ipembe","Ipembe",921,"n"
"ward","Singida","Singida","Utemini","",11269,"n"
"village","Singida","Singida","Utemini","Utemini",2625,"n"
"village","Singida","Singida","Utemini","Station",4277,"n"
"village","Singida","Singida","Utemini","Sabasaba",4366,"n"
"ward","Singida","Singida","Mwankoko","",10548,"n"
"village","Singida","Singida","Mwankoko","Mwankoko A",3498,"n"
"village","Singida","Singida","Mwankoko","Mwankoko B",3016,"n"
"village","Singida","Singida","Mwankoko","Unyianga",4034,"n"
"ward","Singida","Singida","Mandewa","",17932,"n"
"village","Singida","Singida","Mandewa","Mandewa",14874,"n"
"village","Singida","Singida","Mandewa","Mangwanjuki",3058,"n"
"ward","Singida","Singida","Minga","",13336,"n"
"village","Singida","Singida","Minga","Munung'una",3555,"n"
"village","Singida","Singida","Minga","Arusha Road",3015,"n"
"village","Singida","Singida","Minga","Itungukia",3924,"n"
"village","Singida","Singida","Minga","Minga",2841,"n"
"ward","Singida","Singida","Misuna","",13061,"n"
"village","Singida","Singida","Misuna","Karakana",5762,"n"
"village","Singida","Singida","Misuna","Kimpungua",1526,"n"
"village","Singida","Singida","Misuna","Misuna",1722,"n"
"village","Singida","Singida","Misuna","Sokoine",1625,"n"
"village","Singida","Singida","Misuna","Salmin",2426,"n"
"ward","Singida","Singida","Uhamaka","",6229,"n"
"village","Singida","Singida","Uhamaka","Ititi",2391,"n"
"village","Singida","Singida","Uhamaka","Uhamaka",3838,"n"
"district","Singida","Ikungi","","",272959,"n"
"ward","Singida","Ikungi","Puma","",9945,"y"
"village","Singida","Ikungi","Puma","Puma",3709,"n"
"village","Singida","Ikungi","Puma","Isalanda",1186,"n"
"village","Singida","Ikungi","Puma","Wibia",2611,"n"
"village","Singida","Ikungi","Puma","Nkuninkana",2440,"n"
"ward","Singida","Ikungi","Kituntu","",8444,"y"
"village","Singida","Ikungi","Kituntu","Utaho 'A'",1578,"n"
"village","Singida","Ikungi","Kituntu","Kituntu",2122,"n"
"village","Singida","Ikungi","Kituntu","Musambu",1792,"n"
"village","Singida","Ikungi","Kituntu","Matyuku",1496,"n"
"village","Singida","Ikungi","Kituntu","Utaho B",1456,"n"
"ward","Singida","Ikungi","Mungaa","",18276,"y"
"village","Singida","Ikungi","Mungaa","Kinku",2660,"n"
"village","Singida","Ikungi","Mungaa","Mungaa",3037,"n"
"village","Singida","Ikungi","Mungaa","Kimbwi",2396,"n"
"village","Singida","Ikungi","Mungaa","Minyinga",2595,"n"
"village","Singida","Ikungi","Mungaa","Unyaghumpi",4554,"n"
"village","Singida","Ikungi","Mungaa","Makiungu",3035,"n"
"ward","Singida","Ikungi","Siuyu","",7952,"y"
"village","Singida","Ikungi","Siuyu","Siuyu",3054,"n"
"village","Singida","Ikungi","Siuyu","Unyankhanya",3153,"n"
"village","Singida","Ikungi","Siuyu","Makotea",1745,"n"
"ward","Singida","Ikungi","Kikio","",7887,"y"
"village","Singida","Ikungi","Kikio","Munane",3125,"n"
"village","Singida","Ikungi","Kikio","Nkundi",2020,"n"
"village","Singida","Ikungi","Kikio","Mkunguakihendo",2743,"n"
"ward","Singida","Ikungi","Lighwa","",7245,"y"
"village","Singida","Ikungi","Lighwa","Mwisi",2597,"n"
"village","Singida","Ikungi","Lighwa","Ujaire",2013,"n"
"village","Singida","Ikungi","Lighwa","Lighwa",2635,"n"
"ward","Singida","Ikungi","Misughaa","",6679,"y"
"village","Singida","Ikungi","Misughaa","Misughaa",2327,"n"
"village","Singida","Ikungi","Misughaa","Msule",2418,"n"
"village","Singida","Ikungi","Misughaa","Sakaa",1934,"n"
"ward","Singida","Ikungi","Ntuntu","",11360,"y"
"village","Singida","Ikungi","Ntuntu","Mampando",3334,"n"
"village","Singida","Ikungi","Ntuntu","Ntuntu",1471,"n"
"village","Singida","Ikungi","Ntuntu","Ntewa A",2460,"n"
"village","Singida","Ikungi","Ntuntu","Ntewa B",2228,"n"
"village","Singida","Ikungi","Ntuntu","Taru",1867,"n"
"ward","Singida","Ikungi","Dung'unyi","",10158,"y"
"village","Singida","Ikungi","Dung'unyi","Munkinya",1962,"n"
"village","Singida","Ikungi","Dung'unyi","Damankia",1932,"n"
"village","Singida","Ikungi","Dung'unyi","Samaka",1764,"n"
"village","Singida","Ikungi","Dung'unyi","Dung'unyi",2129,"n"
"village","Singida","Ikungi","Dung'unyi","Kipumbuiko",2371,"n"
"ward","Singida","Ikungi","Mang'onyi","",14962,"y"
"village","Singida","Ikungi","Mang'onyi","Mwau",3617,"n"
"village","Singida","Ikungi","Mang'onyi","Mang'onyi",2859,"n"
"village","Singida","Ikungi","Mang'onyi","Sambaru",3916,"n"
"village","Singida","Ikungi","Mang'onyi","Tupendane",2949,"n"
"village","Singida","Ikungi","Mang'onyi","Mlumbi",1621,"n"
"ward","Singida","Ikungi","Mkiwa","",5152,"y"
"village","Singida","Ikungi","Mkiwa","Mkiwa",3241,"n"
"village","Singida","Ikungi","Mkiwa","Choda",1911,"n"
"ward","Singida","Ikungi","Issuna","",12158,"y"
"village","Singida","Ikungi","Issuna","Nkuhi",2643,"n"
"village","Singida","Ikungi","Issuna","Issuna B",2033,"n"
"village","Singida","Ikungi","Issuna","Issuna A",3255,"n"
"village","Singida","Ikungi","Issuna","Ng'ongosoro",2479,"n"
"village","Singida","Ikungi","Issuna","Tumaini",1749,"n"
"ward","Singida","Ikungi","Unyahati","",9710,"y"
"village","Singida","Ikungi","Unyahati","Muungano",1483,"n"
"village","Singida","Ikungi","Unyahati","Mahambe",1008,"n"
"village","Singida","Ikungi","Unyahati","Matare",2878,"n"
"village","Singida","Ikungi","Unyahati","Ulyampiti",2279,"n"
"village","Singida","Ikungi","Unyahati","Kinyamwandyo",2061,"n"
"ward","Singida","Ikungi","Ikungi","",12661,"y"
"village","Singida","Ikungi","Ikungi","Ighuka",2516,"n"
"village","Singida","Ikungi","Ikungi","Ikungi",4115,"n"
"village","Singida","Ikungi","Ikungi","Mbwanjiki",1284,"n"
"village","Singida","Ikungi","Ikungi","Matongo",4746,"n"
"ward","Singida","Ikungi","Iglansoni","",11256,"y"
"village","Singida","Ikungi","Iglansoni","Mnyange",4616,"n"
"village","Singida","Ikungi","Iglansoni","Iglansoni",6640,"n"
"ward","Singida","Ikungi","Iseke","",6933,"y"
"village","Singida","Ikungi","Iseke","Nkhoiree",2932,"n"
"village","Singida","Ikungi","Iseke","Iseke",1769,"n"
"village","Singida","Ikungi","Iseke","Unyangwe",2232,"n"
"ward","Singida","Ikungi","Ihanja","",8269,"y"
"village","Singida","Ikungi","Ihanja","Ihanja",2608,"n"
"village","Singida","Ikungi","Ihanja","Chungu",3218,"n"
"village","Singida","Ikungi","Ihanja","Nduru",2443,"n"
"ward","Singida","Ikungi","Minyughe","",18440,"y"
"village","Singida","Ikungi","Minyughe","Misake",5881,"n"
"village","Singida","Ikungi","Minyughe","Mtavira",6022,"n"
"village","Singida","Ikungi","Minyughe","Minyughe",3383,"n"
"village","Singida","Ikungi","Minyughe","Mayaha",3155,"n"
"ward","Singida","Ikungi","Muhintiri","",8896,"y"
"village","Singida","Ikungi","Muhintiri","Mpetu",2069,"n"
"village","Singida","Ikungi","Muhintiri","Muhintiri",3976,"n"
"village","Singida","Ikungi","Muhintiri","Kinyampembee",2850,"n"
"ward","Singida","Ikungi","Iyumbu","",9377,"y"
"village","Singida","Ikungi","Iyumbu","Makungu",1058,"n"
"village","Singida","Ikungi","Iyumbu","Iyumbu",5252,"n"
"village","Singida","Ikungi","Iyumbu","Mkenene",3067,"n"
"ward","Singida","Ikungi","Mgungira","",6548,"y"
"village","Singida","Ikungi","Mgungira","Ufana",1745,"n"
"village","Singida","Ikungi","Mgungira","Mwankaraja",818,"n"
"village","Singida","Ikungi","Mgungira","Mgungira",3985,"n"
"ward","Singida","Ikungi","Mwaru","",11784,"y"
"village","Singida","Ikungi","Mwaru","Kaugeri",2435,"n"
"village","Singida","Ikungi","Mwaru","Mpungizi",3386,"n"
"village","Singida","Ikungi","Mwaru","Mwaru",2458,"n"
"village","Singida","Ikungi","Mwaru","Mlandala",2048,"n"
"village","Singida","Ikungi","Mwaru","Mdughuyu",1457,"n"
"ward","Singida","Ikungi","Ighombwe","",13344,"y"
"village","Singida","Ikungi","Ighombwe","Jeruman",3407,"n"
"village","Singida","Ikungi","Ighombwe","Ighombwe",4868,"n"
"village","Singida","Ikungi","Ighombwe","Msosa",3057,"n"
"village","Singida","Ikungi","Ighombwe","Makhonda",2012,"n"
"ward","Singida","Ikungi","Mtunduru","",17056,"y"
"village","Singida","Ikungi","Mtunduru","Kintandaa",4873,"n"
"village","Singida","Ikungi","Mtunduru","Kipunda",2734,"n"
"village","Singida","Ikungi","Mtunduru","Mtunduru",4526,"n"
"village","Singida","Ikungi","Mtunduru","Masweya",4924,"n"
"ward","Singida","Ikungi","Sepuka","",12446,"y"
"village","Singida","Ikungi","Sepuka","Msungua",3729,"n"
"village","Singida","Ikungi","Sepuka","Mnang'ana",3325,"n"
"village","Singida","Ikungi","Sepuka","Musimi",5392,"n"
"ward","Singida","Ikungi","Irisya","",6021,"y"
"village","Singida","Ikungi","Irisya","Irisya",2228,"n"
"village","Singida","Ikungi","Irisya","Mwasutianga",2180,"n"
"village","Singida","Ikungi","Irisya","Munyu",1613,"n"
"district","Singida","Mkalama","","",188733,"n"
"ward","Singida","Mkalama","Mpambala","",11192,"y"
"village","Singida","Mkalama","Mpambala","Nyahaa",3037,"n"
"village","Singida","Mkalama","Mpambala","Mpambala",2081,"n"
"village","Singida","Mkalama","Mpambala","Mkiko",4558,"n"
"village","Singida","Mkalama","Mpambala","Lugongo",1516,"n"
"ward","Singida","Mkalama","Mwangeza","",19258,"y"
"village","Singida","Mkalama","Mwangeza","Endasiku",3308,"n"
"village","Singida","Mkalama","Mwangeza","Ikolo",2370,"n"
"village","Singida","Mkalama","Mwangeza","Munguli",3188,"n"
"village","Singida","Mkalama","Mwangeza","Dominic",6631,"n"
"village","Singida","Mkalama","Mwangeza","Mwangeza",3761,"n"
"ward","Singida","Mkalama","Mwanga","",26024,"y"
"village","Singida","Mkalama","Mwanga","Marera",2359,"n"
"village","Singida","Mkalama","Mwanga","Kidarafa",4154,"n"
"village","Singida","Mkalama","Mwanga","Msiu",3170,"n"
"village","Singida","Mkalama","Mwanga","Mwanga",7600,"n"
"village","Singida","Mkalama","Mwanga","Nkalakala",5633,"n"
"village","Singida","Mkalama","Mwanga","Malaja",3110,"n"
"ward","Singida","Mkalama","Nkinto","",10372,"y"
"village","Singida","Mkalama","Nkinto","Nkinto",3562,"n"
"village","Singida","Mkalama","Nkinto","Mntamba",2043,"n"
"village","Singida","Mkalama","Nkinto","Kinyambuli",3119,"n"
"village","Singida","Mkalama","Nkinto","Mazangili",1648,"n"
"ward","Singida","Mkalama","Ibaga","",11712,"y"
"village","Singida","Mkalama","Ibaga","Ilongo",2045,"n"
"village","Singida","Mkalama","Ibaga","Mkalama",2439,"n"
"village","Singida","Mkalama","Ibaga","Igonia",1068,"n"
"village","Singida","Mkalama","Ibaga","Igengu",2512,"n"
"village","Singida","Mkalama","Ibaga","Ibaga",3648,"n"
"ward","Singida","Mkalama","Gumanga","",10948,"y"
"village","Singida","Mkalama","Gumanga","Kisuluiga",2336,"n"
"village","Singida","Mkalama","Gumanga","Gumanga",3488,"n"
"village","Singida","Mkalama","Gumanga","Mgimba",1310,"n"
"village","Singida","Mkalama","Gumanga","Kinankamba",1344,"n"
"village","Singida","Mkalama","Gumanga","Ikungu",2469,"n"
"ward","Singida","Mkalama","Msingi","",7289,"y"
"village","Singida","Mkalama","Msingi","Msingi",3106,"n"
"village","Singida","Mkalama","Msingi","Ishinsi",2178,"n"
"village","Singida","Mkalama","Msingi","Ndalla",2006,"n"
"ward","Singida","Mkalama","Nduguti","",8638,"y"
"village","Singida","Mkalama","Nduguti","Mwando",2814,"n"
"village","Singida","Mkalama","Nduguti","Nduguti",4606,"n"
"village","Singida","Mkalama","Nduguti","Mng'anda",1219,"n"
"ward","Singida","Mkalama","Ilunda","",21622,"y"
"village","Singida","Mkalama","Ilunda","Nkungi",5367,"n"
"village","Singida","Mkalama","Ilunda","Singa",4439,"n"
"village","Singida","Mkalama","Ilunda","Kinampundu",5664,"n"
"village","Singida","Mkalama","Ilunda","Ilunda",3782,"n"
"village","Singida","Mkalama","Ilunda","Iambi",2371,"n"
"ward","Singida","Mkalama","Kinyangiri","",13475,"y"
"village","Singida","Mkalama","Kinyangiri","Lyelembo",3529,"n"
"village","Singida","Mkalama","Kinyangiri","Yulansoni",2496,"n"
"village","Singida","Mkalama","Kinyangiri","Kinyangiri",3366,"n"
"village","Singida","Mkalama","Kinyangiri","Ishenga",4084,"n"
"ward","Singida","Mkalama","Iguguno","",25860,"y"
"village","Singida","Mkalama","Iguguno","Milade",3243,"n"
"village","Singida","Mkalama","Iguguno","Tumuli",3783,"n"
"village","Singida","Mkalama","Iguguno","Kitumbili",3031,"n"
"village","Singida","Mkalama","Iguguno","Senene",3557,"n"
"village","Singida","Mkalama","Iguguno","Lukomo",4890,"n"
"village","Singida","Mkalama","Iguguno","Iguguno",7355,"n"
"ward","Singida","Mkalama","Miganga","",8486,"y"
"village","Singida","Mkalama","Miganga","Kinandili",2078,"n"
"village","Singida","Mkalama","Miganga","Miganga",1720,"n"
"village","Singida","Mkalama","Miganga","Ipuli",2874,"n"
"village","Singida","Mkalama","Miganga","Ngolombyo",1814,"n"
"ward","Singida","Mkalama","Matongo","",6338,"y"
"village","Singida","Mkalama","Matongo","Matongo",2875,"n"
"village","Singida","Mkalama","Matongo","Isene",2757,"n"
"village","Singida","Mkalama","Matongo","Mnung'una",706,"n"
"ward","Singida","Mkalama","Kikhonda","",7519,"y"
"village","Singida","Mkalama","Kikhonda","Kikhonda",5947,"n"
"village","Singida","Mkalama","Kikhonda","Kenke",1572,"n"
"region","Tabora","","","",2291623,"n"
"district","Tabora","Nzega","","",502252,"n"
"ward","Tabora","Nzega","Puge","",12985,"y"
"village","Tabora","Nzega","Puge","Busondo",6238,"n"
"village","Tabora","Nzega","Puge","Upungu",4716,"n"
"village","Tabora","Nzega","Puge","Isuna",2031,"n"
"ward","Tabora","Nzega","Nkiniziwa","",19898,"y"
"village","Tabora","Nzega","Nkiniziwa","Ngurumo",4865,"n"
"village","Tabora","Nzega","Nkiniziwa","Nkini ziwa",4443,"n"
"village","Tabora","Nzega","Nkiniziwa","Mbwagwa",5891,"n"
"village","Tabora","Nzega","Nkiniziwa","Nkuge",4699,"n"
"ward","Tabora","Nzega","Budushi","",6940,"y"
"village","Tabora","Nzega","Budushi","Budushi",3607,"n"
"village","Tabora","Nzega","Budushi","Iyombo-Itima",3333,"n"
"ward","Tabora","Nzega","Mwakashanhala","",19857,"y"
"village","Tabora","Nzega","Mwakashanhala","Mwakashanhala",4239,"n"
"village","Tabora","Nzega","Mwakashanhala","Kigandu",5085,"n"
"village","Tabora","Nzega","Mwakashanhala","Ibelafinga",2079,"n"
"village","Tabora","Nzega","Mwakashanhala","Ugembe",6868,"n"
"village","Tabora","Nzega","Mwakashanhala","Mwanembo",1586,"n"
"ward","Tabora","Nzega","Tongi","",17151,"y"
"village","Tabora","Nzega","Tongi","Nkingamalucha",2770,"n"
"village","Tabora","Nzega","Tongi","Mangashini",3210,"n"
"village","Tabora","Nzega","Tongi","Chabutwa",3327,"n"
"village","Tabora","Nzega","Tongi","Ndekeli",5083,"n"
